imdb_id,budget_from_api,budget_opus_data,buget_from_imdb_website
tt0111342,0,0,
tt0118229,0,0,
tt0081163,0,0,
tt0072315,0,0,
tt0125994,0,0,
tt0120861,0,0,
tt0138493,0,0,
tt0146990,0,0,
tt0143874,0,0,
tt0119923,0,0,
tt0058536,0,0,
tt0101635,0,0,
tt0139468,0,0,
tt0120056,0,0,
tt0119952,0,0,
tt0120699,0,0,
tt0116692,0,0,
tt0125980,0,0,
tt0118662,0,0,
tt0120211,0,0,
tt0119305,0,0,
tt1580346,0,0,
tt0150230,0,0,
tt0119987,0,0,
tt0120257,0,0,
tt0119717,0,0,
tt0118539,0,0,
tt0119815,0,0,
tt0119802,0,0,
tt0119577,0,0,
tt0190798,0,0,
tt0119453,0,0,
tt0123385,0,0,
tt0126651,0,0,
tt0039383,0,0,
tt0126344,0,0,
tt0120408,0,0,
tt0138563,0,0,
tt0141986,0,0,
tt0133363,0,0,
tt0119910,0,0,
tt0119248,0,0,
tt0122082,0,0,
tt0119657,0,0,
tt0119125,0,0,
tt0119901,0,0,
tt0116481,0,0,
tt0120692,0,0,
tt0288441,0,0,
tt0127722,0,0,
tt0158539,0,0,
tt0120793,0,0,
tt0118894,0,0,
tt0120788,0,0,
tt0119791,0,0,
tt0122642,0,0,
tt0122529,0,0,
tt0140282,0,0,
tt0118819,0,0,
tt0119196,0,0,
tt0120241,0,0,
tt0208261,0,0,
tt0120835,0,0,
tt0119336,0,0,
tt0191043,0,0,
tt0118804,0,0,
tt0139362,0,0,
tt0137386,0,0,
tt0120856,0,0,
tt0120514,0,0,
tt0120823,0,0,
tt0118851,0,0,
tt0126604,0,0,
tt0120643,0,0,
tt0168808,0,0,
tt0119621,0,0,
tt0119723,0,0,
tt0120742,0,0,
tt0120687,0,0,
tt0120723,0,0,
tt0150915,0,0,
tt0142231,0,0,
tt0119891,0,0,
tt0120782,0,0,
tt0119988,0,0,
tt0120478,0,0,
tt0131857,0,0,
tt0120725,0,0,
tt0120765,0,0,
tt0124595,0,0,
tt0158493,0,0,
tt0120901,0,0,
tt0123324,0,0,
tt0120610,0,0,
tt0120820,0,0,
tt0155478,0,0,
tt0120576,0,0,
tt0120773,0,0,
tt0125454,0,0,
tt0123987,0,0,
tt0120789,0,0,
tt0120783,0,0,
tt0145921,0,0,
tt0163862,0,0,
tt0149357,0,0,
tt0119920,0,0,
tt0201290,0,0,
tt0235413,0,0,
tt0188757,0,0,
tt0186683,0,0,
tt0113658,0,0,
tt0169299,0,0,
tt0153755,0,0,
tt0185711,0,0,
tt0150574,0,0,
tt0148462,0,0,
tt0165874,0,0,
tt0171340,0,0,
tt0147856,0,0,
tt0120628,0,0,
tt0144608,0,0,
tt0111165,0,0,
tt0157075,0,0,
tt0118150,0,0,
tt0053666,0,0,
tt0182992,0,0,
tt5450616,0,0,
tt0115164,0,0,
tt0119614,0,0,
tt0116192,0,0,
tt0073407,0,0,
tt0126612,0,0,
tt0133170,0,0,
tt0134645,0,0,
tt0120680,0,0,
tt0214150,0,0,
tt0142393,0,0,
tt0123923,0,0,
tt0117365,0,0,
tt0120113,0,0,
tt0133122,0,0,
tt0181786,0,0,
tt0120584,0,0,
tt0133412,0,0,
tt0168950,0,0,
tt0124555,0,0,
tt0141105,0,0,
tt0114086,0,0,
tt0119828,0,0,
tt0175159,0,0,
tt0120594,0,0,
tt0178988,0,0,
tt0168740,0,0,
tt0184510,0,0,
tt0164221,0,0,
tt0175777,0,0,
tt0181733,0,0,
tt0217119,0,0,
tt0176415,0,0,
tt0127288,0,0,
tt0244794,0,0,
tt0195909,0,0,
tt0119207,0,0,
tt0157016,0,0,
tt0160672,0,0,
tt0118834,0,0,
tt0217351,0,0,
tt0139394,0,0,
tt0262774,0,0,
tt0167925,0,0,
tt0155796,0,0,
tt0192194,0,0,
tt0120848,0,0,
tt0037428,0,0,
tt0168449,0,0,
tt0143261,0,0,
tt0138279,0,0,
tt4876734,0,0,
tt4268796,0,0,
tt0204471,0,0,
tt0076792,0,0,
tt0126810,0,0,
tt0142215,0,0,
tt0160509,0,0,
tt0119773,0,0,
tt0122515,0,0,
tt0196596,0,0,
tt6204018,0,0,
tt0152015,0,0,
tt0166090,0,0,
tt0120659,0,0,
tt0181810,0,0,
tt0168589,0,0,
tt0175550,0,0,
tt0129884,0,0,
tt0141974,0,0,
tt0138590,0,0,
tt0200071,0,0,
tt0187712,0,0,
tt0127296,0,0,
tt0216707,0,0,
tt0168172,0,0,
tt0133189,0,0,
tt0164312,0,0,
tt0119665,0,0,
tt0154591,0,0,
tt0167926,0,0,
tt0157183,0,0,
tt0151691,0,0,
tt0118843,0,0,
tt0151582,0,0,
tt0138487,0,0,
tt0200087,0,0,
tt0119743,0,0,
tt0159696,0,0,
tt0119586,0,0,
tt0225515,0,0,
tt0180793,0,0,
tt0134033,0,0,
tt0149151,0,0,
tt0128133,0,0,
tt0168794,0,0,
tt0211934,0,0,
tt0160513,0,0,
tt0200849,0,0,
tt0120899,0,0,
tt0155722,0,0,
tt0172627,0,0,
tt0174268,0,0,
tt0207363,0,0,
tt0171685,0,0,
tt0115005,0,0,
tt0340380,0,0,
tt0120865,0,0,
tt0219374,0,0,
tt0115669,0,0,
tt0169145,0,0,
tt2385764,0,0,
tt0181288,0,0,
tt0162866,0,0,
tt0194314,0,0,
tt0133385,0,0,
tt0152836,0,0,
tt0216817,0,0,
tt0168987,0,0,
tt0379948,0,0,
tt0138874,0,0,
tt0137439,0,0,
tt0169388,0,0,
tt0210727,0,0,
tt0120866,0,0,
tt0180668,0,0,
tt0157208,0,0,
tt0144715,0,0,
tt0187859,0,0,
tt0165859,0,0,
tt0155388,0,0,
tt0158371,0,0,
tt0178737,0,0,
tt0182914,0,0,
tt0115693,0,0,
tt0139668,0,0,
tt0186508,0,0,
tt2242910,0,0,
tt0132477,0,0,
tt0159423,0,0,
tt0093120,0,0,
tt0243604,0,0,
tt0238639,0,0,
tt0201584,0,0,
tt0227963,0,0,
tt0176825,0,0,
tt0126240,0,0,
tt0236702,0,0,
tt0186397,0,0,
tt0171135,0,0,
tt0237865,0,0,
tt0119472,0,0,
tt0261199,0,0,
tt0246593,0,0,
tt1542485,0,0,
tt0211344,0,0,
tt6251666,0,0,
tt0168475,0,0,
tt0144688,0,0,
tt0154352,0,0,
tt0156245,0,0,
tt0201538,0,0,
tt0170452,0,0,
tt0192069,0,0,
tt1043429,0,0,
tt0189916,0,0,
tt0221023,0,0,
tt0162909,0,0,
tt0119866,0,0,
tt0264666,0,0,
tt0228992,0,0,
tt0176426,0,0,
tt0150143,0,0,
tt6066280,0,0,
tt0146516,0,0,
tt0168899,0,0,
tt0186730,0,0,
tt0214959,0,0,
tt0177394,0,0,
tt0180181,0,0,
tt0204414,0,0,
tt0148421,0,0,
tt0255195,0,0,
tt0141657,0,0,
tt0157182,0,0,
tt0219210,0,0,
tt0158440,0,0,
tt0210584,0,0,
tt0120894,0,0,
tt0168912,0,0,
tt0202077,0,0,
tt0024844,0,0,
tt0179473,0,0,
tt0197384,0,0,
tt0255305,0,0,
tt0211714,0,0,
tt0147192,0,0,
tt0181547,0,0,
tt0197311,0,0,
tt0218433,0,0,
tt0202831,0,0,
tt0008112,0,0,
tt0233315,0,0,
tt0255309,0,0,
tt0184115,0,0,
tt0226430,0,0,
tt0214557,0,0,
tt0150338,0,0,
tt0148841,0,0,
tt0179063,0,0,
tt0204137,0,0,
tt2082496,0,0,
tt0222293,0,0,
tt0211219,0,0,
tt0236447,0,0,
tt0255111,0,0,
tt0190861,0,0,
tt0205735,0,0,
tt0166695,0,0,
tt0177068,0,0,
tt0119842,0,0,
tt0189475,0,0,
tt0181627,0,0,
tt0156757,0,0,
tt0192745,0,0,
tt0174885,0,0,
tt0161216,0,0,
tt0244528,0,0,
tt0192949,0,0,
tt0207998,0,0,
tt0220596,0,0,
tt0264802,0,0,
tt0196699,0,0,
tt0211387,0,0,
tt0251433,0,0,
tt0236576,0,0,
tt0226190,0,0,
tt0217019,0,0,
tt0173910,0,0,
tt0156096,0,0,
tt0218379,0,0,
tt0197569,0,0,
tt3026144,0,0,
tt2930668,0,0,
tt0236638,0,0,
tt0191610,0,0,
tt0230591,0,0,
tt0188694,0,0,
tt0260775,0,0,
tt0271748,0,0,
tt0199683,0,0,
