imdb_id,star,director,actor1,actor2,actor3,genre,runtime,user,critc,budget
tt5662556,5.4,Luca Lucini,Margherita Buy,Claudia Gerini,Giampaolo Morelli,Comedy,,no data,3,0
tt0185673,5.3,Chiu Lee,Gaowa Siqin,Kuo Ming Sun,Ching-Ying Lam,Action,86,1,no data,0
tt4679210,8.3,Alphonse Puthren,Nivin Pauly,Madonna Sebastian,Sai Pallavi,Comedy,164,48,51,6200000
tt3995766,3.8,Jorge Eduardo Ramírez,Gerardo Taracena,Regina Blandón,Fernanda Sasse,Horror,,no data,1,1200000
tt6409994,5.8,Edoardo Maria Falcone,Elio Germano,Fabio De Luigi,Daniela Virgilio,Comedy,,no data,3,0
tt4923200,6.3,Anna van der Heide,Yenthe Bos,Bobby van Vleuten,Jeroen Spitzenberger,Family,83,1,5,0
tt5663624,4.2,Carlo Vanzina,Ricky Memphis,Massimiliano Tortora,Paola Minaccioni,Comedy,,no data,no data,0
tt0778867,6.6,Gary Leva,Hal Holbrook,Robert Redford,William Goldman,Documentary,28,no data,no data,0
tt5746178,5.9,Claudio Amendola,Luca Argentero,Claudio Amendola,Valentina Bellè,Crime,105,no data,5,0
tt0350258,7.7,Taylor Hackford,Jamie Foxx,Regina King,Kerry Washington,Biography,152,444,207,40000000
tt0385752,6.1,Chris Weitz,Nicole Kidman,Daniel Craig,Dakota Blue Richards,Adventure,113,678,253,180000000
tt5974388,7.3,Maysaloun Hamoud,Mouna Hawa,Sana Jammelieh,Shaden Kanboura,Drama,96,11,43,0
tt1247700,6.4,Zhong Yu,Daichi Harashima,Li Feng,Zhong Yu,Adventure,88,2,3,0
tt6212346,5.8,Patryk Vega,Alicja Bachleda,Magdalena Cielecka,Anna Dereszowska,Action,135,1,no data,0
tt5459730,7.4,Te Arepa Kahi,Patea Maori Club,Ngoi Pewhairangi,Maaka Pohatu,Documentary,93,3,3,0
tt2936884,6.2,Dominique Abel,Fiona Gordon,Dominique Abel,Emmanuelle Riva,Comedy,83,10,68,0
tt6615580,4.5,Guido Chiesa,Andrea Pisani,Greta Menchi,Enrico Oetiker,Comedy,,no data,2,0
tt4714568,7.1,Peter Foott,Alex Murphy,Chris Walley,Hilary Rose,Adventure,84,23,14,0
tt5278506,7.6,David Farrier,David Farrier,Dylan Reeve,Marko Realmonte,Documentary,92,27,90,0
tt6389310,7.2,Jin-mo Cho,Ha-neul Kim,Mason Moon Moorhouse,Aarif Rahman,Drama,100,no data,no data,0
tt5456104,6.3,Adolfo Martínez Pérez,Ariadna Gil,Raúl Mérida,Roberto lamo,Action,93,4,28,0
tt4562518,7.5,Gastón Duprat,Oscar Martínez,Dady Brieva,Andrea Frigerio,Comedy,118,12,44,0
tt5737862,6.4,Gillian Robespierre,Jenny Slate,Jay Duplass,Abby Quinn,Comedy,93,13,65,0
tt5893264,5.6,Roman Polanski,Emmanuelle Seigner,Eva Green,Vincent Perez,Comedy,100,5,56,0
tt4779026,5.5,Clayton Cogswell,Derek Haugen,Jacob Givens,Noel Carroll,Comedy,80,5,13,0
tt4630550,6.5,Jean-Pierre Dardenne,Adèle Haenel,Olivier Bonnaud,Jérémie Renier,Crime,106,17,137,0
tt5205256,5.4,Giovanni Veronesi,Filippo Scicchitano,Giovanni Anzaldo,Sara Serraiocco,Comedy,107,no data,3,0
tt6029122,7.1,Alper Mestçi,Büsra Apaydin,Elif Baysal,Nevin Efe,Horror,87,no data,no data,0
tt5295358,4.1,Ali Yorgancioglu,Gokhan Yikilkan,Ulas Torun,Firat Tanis,Comedy,,no data,no data,0
tt4621630,6.3,Mar Targarona,Blanca Portillo,Antonio Dechent,Vicente Romero,Thriller,105,7,15,0
tt5990474,7.3,Kogonada,John Cho,Haley Lu Richardson,Parker Posey,Drama,100,51,73,0
tt6409666,4,Haluk Can Dizdaroglu,Bülent Kayabas,Tülay Bursa,Gülen Karaman,Animation,98,no data,no data,0
tt6373590,6.2,Marcello Macchia,Marcello Macchia,Luigi Luciano,Enrico Venti,Comedy,,no data,6,0
tt5223624,6.5,Rafael Montero,Antón Araiza,Juan Ignacio Aranda,Arturo Barba,Drama,90,1,1,0
tt5768558,no data,Hu Yun,,,,Animation,,no data,no data,0
tt0023871,7.8,José Cottinelli Telmo,Vasco Santana,Beatriz Costa,António Silva,Comedy,85,5,2,0
tt5638642,6.3,David Bruckner,Rafe Spall,Arsher Ali,Robert James-Collier,Horror,94,185,131,10000000
tt5914618,3.7,Byung-Cheol Chun,Jingchu Zhang,Peter Ho,Young-Min Kim,Comedy,,no data,1,0
tt5187548,4.7,Zao Wang,Ruby Lin,Peter Ho,Kim Scar,Horror,,5,1,0
tt5985820,5.8,Umut Kirca,Ferdi Akarnur,Gülsüm Alkan,Haldun Boysan,Comedy,93,no data,1,0
tt4919484,6.8,Ira Sachs,Greg Kinnear,Jennifer Ehle,Paulina García,Drama,85,35,123,0
tt5859238,7.4,John Carroll Lynch,Harry Dean Stanton,David Lynch,Ron Livingston,Comedy,88,41,154,0
tt6445396,5.4,Eric Lavaine,Alexandra Lamy,Arnaud Ducret,Jamie Bamber,Comedy,95,1,12,0
tt5091612,7.3,Christian Duguay,Dorian Le Clech,Batyste Fleurial,Patrick Bruel,Drama,110,11,44,0
tt5775220,4,Sunhil Sippy,Sunny Leone,Sonakshi Sinha,Purab Kohli,Comedy,116,22,18,0
tt5220590,6.4,Hans Somers,Vajèn van den Bosch,Stephanie van Eer,Rein van Duivenboden,Comedy,,no data,1,0
tt6289452,2.3,Yagiz Alp Akaydin,Tolga Saritas,Afra Saraçoglu,Sarp Akkaya,Romance,120,6,5,0
tt4482938,7.1,Paula van der Oest,Pierre Bokma,Rifka Lodeizen,Chris Peters,Drama,100,1,12,0
tt6129232,7.7,Luka Marcetic,Dejan Krupic,Goran Hrvacanin,Igor Kesina,Comedy,87,2,no data,0
tt5589816,5.9,Joram Lürsen,Chantal Janzen,Gijs Naber,Alex Klaasen,Drama,90,1,4,0
tt5186860,5.5,Roberto Faenza,Riccardo Scamarcio,Maya Sansa,Greta Scarano,Mystery,94,no data,2,0
tt5097070,7.9,Steven Cantor,Jade Hale-Christofi,David LaChapelle,Sergei Polunin,Documentary,85,7,38,0
tt5345806,5.7,Pedro Pablo Ibarra,Ana Brenda Contreras,Claudio Lafarga,Esmeralda Pimentel,Comedy,93,no data,no data,0
tt3234084,4.5,Lake Bell,Lake Bell,Ed Helms,Mary Steenburgen,Comedy,103,11,12,0
tt0462590,6.5,Anne Fletcher,Channing Tatum,Jenna Dewan Tatum,Damaine Radcliff,Crime,104,275,100,12000000
tt6126428,4.1,Orçun Benli,Gokhan Yikilkan,Ulas Torun,Gürkan Uygun,Comedy,125,no data,no data,0
tt3026488,6.4,Vincent Perez,Daniel Brühl,Emma Thompson,Brendan Gleeson,Drama,103,34,74,0
